NAME_O,ORIGX,ORIGY,NAME_D,DSTNX,DSTNY
"36 Constitutional Rd., BH, QC",14.68751,121.09869,Constitution Market,14.69064,121.09661
"16 Pigeon Alley St., BH, QC",14.68519,121.10728,Constitution Market,14.69064,121.09661
"25 Congressional Rd., BH, QC",14.68776,121.09701,Constitution Market,14.69064,121.09661
"4 Pigeon Alley St., BH, QC",14.68426,121.09204,"Segunda Bldg, Kamuning, Cubao",14.62007,121.05947
"3 Pigeon Alley St., BH, QC",14.68397,121.10732,Constitution Market,14.69064,121.09661
"17 Falcon Alley St., BH, QC",14.68058,121.10522,Constitution Market,14.69064,121.09661
"1B Hawk Alley St., BH, QC",14.68685,121.10738,"Talipapa, Presidential Rd.",14.6909,121.09539
"23 Sitio 1, Congressional Rd., BH, QC",14.6876,121.09696,"Talipapa, Presidential Rd.",14.6909,121.09539
"31 Sitio 2, Congressional Rd., BH, QC",14.6876,121.09696,"Talipapa, Presidential Rd.",14.6909,121.09539
"06 Maya St., BH, QC",14.68057,121.09355,PCCAES,14.68472,121.09774
"32 Congressional Rd., BH, QC",14.68776,121.09701,West Triangle,14.67892,121.08467
"56 Pigeon Alley St., BH, QC",14.67979,121.10607,"Talipapa, Presidential Rd.",14.6909,121.09539
"10 Kingfisher BH, QC",14.67959,121.10458,"Talipapa, Consti",14.69064,121.09661
"29 Jasmin St., BH, QC",14.71634,121.02751,"Goldilocks, Mc. Collough St., Mandaluyong",14.5809,121.04687
"14 King Fisher St. BH, QC",14.68526,121.10722,UP Commonwealth,14.6541,121.05411
"5 King Fisher St. BH, QC",14.68057,121.09355,Ever Commonwealth,14.68472,121.09774
"1044 Jasmin St., BH, QC",14.68057,121.09355,"Talipapa, Commonwealth Ave",14.682,121.08509
"13 King Fisher, BH, QC",14.68337,121.10077,"Consti, Talipapa",14.69064,121.09661
"1039 Jasmin St., BH, QC",14.68057,121.09355,Commonwealth Market,14.682,121.08509
"04 Kingfisher St. BH, QC",14.68057,121.09355,"Talipapa, Consti",14.69064,121.09661
"2 Pigeon Alley, BH, QC",14.68472,121.09774,"Talipapa, Consti",14.69064,121.09661
